fold,period,rmse,rmse_bull,rmse_bear,dir_acc,dir_bull,dir_bear,asym_loss,ic
Fold 1,2016-04 ~ 2017-01,42.21344944243149,42.21344944243149,,50.0,50.0,,45.21080275737866,0.39999999999999997
Fold 2,2017-04 ~ 2018-01,13.306279741574665,13.306279741574665,,50.0,50.0,,14.171220882719558,1.0
Fold 3,2018-04 ~ 2019-01,15.947824478513992,19.75389878552901,10.88345965059161,100.0,100.0,100.0,15.071709367925164,0.7999999999999999
Fold 4,2019-04 ~ 2020-01,15.382225647376066,14.8400715974802,15.905911062094166,50.0,100.0,0.0,15.646259498391998,0.6000000000000001
Fold 5,2020-04 ~ 2021-01,10.470701283327626,11.97894258422821,2.8385110797752904,100.0,100.0,100.0,9.917111071652522,1.0
CV 평균,-,19.46409611864477,20.418528430248717,9.87596059748702,70.0,80.0,66.66666666666667,20.00342071561358,0.76
Hold-out,2021-04 ~ 2026-01,74.15432356717189,90.80871122343322,19.9154915699347,75.0,69.23076923076923,85.71428571428571,77.13098655630378,0.5052631578947367
