fold,period,rmse,rmse_bull,rmse_bear,dir_acc,dir_bull,dir_bear,asym_loss
Fold 1,2019-01 ~ 2019-12,4.004614556957934,4.614972291471285,2.9447399966808128,83.33333333333334,71.42857142857143,100.0,4.183658808187274
Fold 2,2020-01 ~ 2020-12,5.63564378991467,5.63564378991467,,100.0,100.0,,5.63564378991467
Fold 3,2021-01 ~ 2021-12,9.371290133581626,9.371290133581626,,100.0,100.0,,9.371290133581626
Fold 4,2022-01 ~ 2022-12,4.207437393424306,,4.207437393424306,83.33333333333334,,83.33333333333334,4.501095609874194
Fold 5,2023-01 ~ 2023-12,4.203657627351457,4.588645073099778,0.8637746543666012,83.33333333333334,80.0,100.0,4.044565059961838
CV 평균,-,5.484528700245999,6.052637822016839,2.671984014823907,90.00000000000003,87.85714285714286,94.44444444444446,5.54725068030392
Hold-out,2024-01 ~ 2025-12,49.92909038187117,49.92909038187117,,100.0,100.0,,49.92909038187117
